frame,tid,cx,cy,yaw,hit,speed,moving,score,length
16,3,31.121945,-29.022601,-3.021119,1,0.443924,0,3.000000,1.959875
16,7,40.142083,-9.245925,-0.917311,1,0.150501,0,19.000000,1.280384
16,15,39.441792,10.190370,-2.745685,1,6.253003,0,20.000000,1.105888
16,16,27.206471,-25.948610,3.141593,1,0.145399,0,1.000000,0.495145
16,13,33.376648,-2.829070,-1.570796,0,0.433062,0,1.000000,1.391558
16,12,10.903301,27.517419,-1.570796,0,0.523213,0,1.000000,0.000000
17,1,19.015751,-18.201330,-1.208718,1,7.086600,1,53.000000,0.840456
17,2,14.694993,30.319964,-3.321256,1,0.072326,0,6.000000,1.082264
17,7,40.266347,-9.142614,-0.230743,1,0.059592,0,3.000000,0.211746
17,15,38.219107,10.073675,-3.128680,1,7.752752,1,19.000000,1.337399
17,16,27.164541,-25.973222,-3.141593,1,0.199103,0,1.000000,0.495145
17,17,42.527760,6.968848,-1.570796,1,0.000000,0,1.000000,0.000000
17,3,31.128329,-29.066532,-3.021119,0,0.443924,0,3.000000,1.959875
17,13,33.418764,-2.818987,-1.570796,0,0.433062,0,1.000000,1.391558
17,12,10.939730,27.479864,-1.570796,0,0.523213,0,1.000000,0.000000
18,1,19.746571,-18.108415,-1.052496,1,7.117284,1,53.000000,0.811908
18,2,14.693871,30.282683,-3.920225,1,0.068657,0,3.000000,0.495007
18,3,31.153133,-29.204904,-3.017010,1,0.546580,0,5.000000,2.164068
18,7,40.228954,-9.171365,-0.840042,1,0.025254,0,14.000000,1.152187
18,13,36.097566,-3.387459,-7.695540,1,4.622959,0,14.000000,2.122411
18,15,36.995351,10.022516,-3.042185,1,8.745406,1,24.000000,1.405361
18,16,27.224022,-26.431239,-2.984697,1,1.389572,0,2.000000,1.968863
18,17,42.660013,6.878107,-7.792002,1,0.132714,0,2.000000,0.133398
18,12,10.976160,27.442309,-1.570796,0,0.523213,0,1.000000,0.000000
19,1,20.475663,-18.014316,-1.077440,1,7.142691,1,51.000000,0.849355
19,2,14.694468,30.318496,-3.446222,1,0.058320,0,8.000000,1.131470
19,3,31.108966,-28.912205,-3.141593,1,0.177793,0,1.000000,2.164068
19,7,40.186751,-9.187860,-0.994276,1,0.053576,0,14.000000,1.188711
19,12,10.677643,27.636853,-1.570796,1,0.106161,0,1.000000,0.000000
19,15,35.817336,9.773062,-2.753329,1,9.398474,1,6.000000,0.792316
19,16,27.201502,-26.332782,-3.141593,1,0.735336,0,1.000000,1.968863
20,1,21.204145,-17.910842,-1.040695,1,7.165677,1,43.000000,0.737386
20,2,14.725101,30.325332,-3.039093,1,0.027449,0,6.000000,2.443155
20,3,31.077049,-28.684678,-3.141593,1,0.081237,0,1.000000,2.164068
20,7,40.166224,-9.193994,-0.965876,1,0.069175,0,19.000000,1.410275
20,15,34.953422,9.527539,-2.870552,1,9.311724,1,32.000000,8.553827
20,16,27.186512,-26.246261,-3.141593,1,0.336415,0,1.000000,1.968863
20,18,15.457570,34.318859,-1.570796,1,0.000000,0,1.000000,0.000000
20,12,10.674516,27.626708,-1.570796,0,0.106161,0,1.000000,0.000000
21,1,21.938391,-17.799356,-1.057502,1,7.193491,1,43.000000,0.863463
21,2,14.722052,30.326995,-3.543713,1,0.027926,0,4.000000,0.943562
21,3,31.102917,-28.773541,-2.944535,1,0.028733,0,3.000000,1.947453
21,7,40.158283,-9.196406,-0.976607,1,0.070233,0,17.000000,1.263737
21,12,10.837777,27.394252,-1.570796,1,0.361687,0,1.000000,0.000000
21,15,33.645106,9.404282,-2.931234,1,9.936266,1,21.000000,1.171082
21,16,27.116418,-26.121059,-3.141593,1,0.187751,0,1.000000,1.968863
21,19,14.149670,39.946415,-1.842698,1,0.000000,0,3.000000,0.260595
21,18,15.457570,34.318859,-1.570796,0,0.000000,0,1.000000,0.000000
22,1,22.666094,-17.678773,-1.017986,1,7.212430,1,38.000000,0.738827
22,2,14.731134,30.415832,-3.282225,1,0.116991,0,6.000000,1.349600
22,3,31.063049,-28.573744,-3.141593,1,0.193607,0,1.000000,1.947453
22,7,40.159192,-9.196852,-0.837899,1,0.061969,0,21.000000,1.285433
