frame,tid,cls,cx,cy,yaw,vx,vy,heading,hit,speed,moving,score,length,width,is_vehicle
7,8,Car,40.495651,-8.914969,-6.611832,0.679612,0.515453,0.648888,1,0.852974,0,3.000000,0.133086,0.014278,0
7,10,Car,29.078917,9.457130,-3.141593,-7.414353,0.198389,3.114842,1,7.417007,0,1.000000,0.859036,0.155260,0
7,11,Car,28.805255,12.705986,-2.767199,-2.524126,-0.057760,-3.118714,1,2.524787,0,10.000000,0.934732,0.327068,0
7,12,Car,27.582308,-24.941366,-2.145374,-0.408992,-0.352638,-2.430052,1,0.540026,0,2.000000,0.231267,1.900000,0
7,7,Car,16.449482,35.665143,-1.969249,-0.520469,-2.351929,-1.788581,0,2.408829,0,4.000000,0.724358,0.012539,0
8,1,Car,12.338382,-18.859624,-1.175640,6.178730,0.329448,0.053269,1,6.187507,1,76.000000,1.016989,0.334309,1
8,2,Truck,24.443355,-4.966833,-2.969156,13.317189,1.877389,0.140052,1,13.448870,1,746.000000,9.636597,2.740561,1
8,3,Car,14.837357,30.397001,-4.712389,0.110254,0.098696,0.730139,1,0.147976,0,1.000000,1.148376,0.181033,0
8,4,Car,31.142049,-29.251571,-3.003795,0.231755,-1.791775,-1.442167,1,1.806700,0,5.000000,2.214079,0.100538,0
8,8,Car,40.405758,-8.972979,-0.981476,0.394903,0.317857,0.677721,1,0.506933,0,17.000000,1.291437,0.362448,0
8,10,Car,27.761719,9.223167,-3.230555,-8.665320,-0.353050,-3.100872,1,8.672509,1,4.000000,0.285430,0.063894,0
8,11,Car,27.640751,12.597313,-2.847512,-5.048654,-0.342563,-3.073844,1,5.060263,0,10.000000,0.811763,0.153030,0
8,13,Car,10.628380,27.802450,-1.570796,0.000000,0.000000,,1,0.000000,0,1.000000,0.000000,1.900000,0
8,7,Car,16.397435,35.429950,-1.969249,-0.520469,-2.351929,-1.788581,0,2.408829,0,4.000000,0.724358,0.012539,0
9,1,Car,13.093533,-18.799989,-1.252463,6.404304,0.373305,0.058224,1,6.415175,1,75.000000,1.224951,0.353016,1
9,2,Truck,25.916417,-4.786469,-2.981796,13.549444,1.865270,0.136804,1,13.677231,1,610.000000,9.323370,2.584382,1
9,3,Car,14.763199,30.315278,-4.121894,-0.029719,-0.051810,-2.091583,1,0.059728,0,4.000000,0.231100,0.058743,0
9,4,Car,31.172512,-29.338943,-2.978541,0.243730,-1.640920,-1.423342,1,1.658922,0,3.000000,2.087845,0.046541,0
9,7,Car,16.298273,35.139581,-1.882185,-0.591997,-2.435696,-1.809223,1,2.506606,0,4.000000,0.357500,0.061520,0
9,8,Car,40.315669,-9.036669,-0.975421,0.181977,0.160972,0.724224,1,0.242956,0,18.000000,1.318420,0.282131,0
9,10,Car,26.441859,9.173742,-3.595759,-9.569464,-0.381211,-3.101778,1,9.577054,1,5.000000,0.593546,0.057432,0
9,11,Car,26.272974,12.461106,-3.137676,-7.419862,-0.622715,-3.057863,1,7.445947,0,2.000000,0.676355,0.153030,0
9,13,Car,10.628380,27.802450,-1.570796,0.000000,0.000000,,0,0.000000,0,1.000000,0.000000,1.900000,0
10,1,Car,13.838573,-18.739541,-1.276731,6.562666,0.408300,0.062136,1,6.575355,1,72.000000,1.040493,0.383381,1
